Language,CountryCode,IsOfficial,Percentage
Dutch,ABW,T,5.3
English,ABW,F,9.5
Papiamento,ABW,F,76.7
Spanish,ABW,F,7.4
Balochi,AFG,F,0.9
Dari,AFG,T,32.1
Pashto,AFG,T,52.4
Turkmenian,AFG,F,1.9
Uzbek,AFG,F,8.8
Ambo,AGO,F,2.4
Chokwe,AGO,F,4.2
Kongo,AGO,F,13.2
Luchazi,AGO,F,2.4
Luimbe-nganguela,AGO,F,5.4
Luvale,AGO,F,3.6
Mbundu,AGO,F,21.6
Nyaneka-nkhumbi,AGO,F,5.4
Ovimbundu,AGO,F,37.2
English,AIA,T,0.0
Albaniana,ALB,T,97.9
Greek,ALB,F,1.8
Macedonian,ALB,F,0.1
Catalan,AND,T,32.3
French,AND,F,6.2
Portuguese,AND,F,10.8
Spanish,AND,F,44.6
Dutch,ANT,T,0.0
English,ANT,F,7.8
Papiamento,ANT,T,86.2
Arabic,ARE,T,42.0
Hindi,ARE,F,0.0
Indian Languages,ARG,F,0.3
Italian,ARG,F,1.7
Spanish,ARG,T,96.8
Armenian,ARM,T,93.4
Azerbaijani,ARM,F,2.6
English,ASM,T,3.1
Samoan,ASM,T,90.6
Tongan,ASM,F,3.1
Creole English,ATG,F,95.7
English,ATG,T,0.0
Arabic,AUS,F,1.0
Canton Chinese,AUS,F,1.1
English,AUS,T,81.2
German,AUS,F,0.6
Greek,AUS,F,1.6
Italian,AUS,F,2.2
Serbo-Croatian,AUS,F,0.6
Vietnamese,AUS,F,0.8
Czech,AUT,F,0.2
German,AUT,T,92.0
Hungarian,AUT,F,0.4
Polish,AUT,F,0.2
Romanian,AUT,F,0.2
Serbo-Croatian,AUT,F,2.2
Slovene,AUT,F,0.4
Turkish,AUT,F,1.5
Armenian,AZE,F,2.0
Azerbaijani,AZE,T,89.0
Lezgian,AZE,F,2.3
Russian,AZE,F,3.0
French,BDI,T,0.0
Kirundi,BDI,T,98.1
Swahili,BDI,F,0.0
Arabic,BEL,F,1.6
Dutch,BEL,T,59.2
French,BEL,T,32.6
German,BEL,T,1.0
Italian,BEL,F,2.4
